Date,Headline,Sentence
"JULY 23, 2020",U.S. Congressional hearing to question tech giant CEOs to be delayed,"A U.S. congressional hearing scheduled for next week to question the CEOs of Facebook Inc, Amazon.com Inc, Google parent Alphabet Inc and Apple Inc is set to be delayed, according to sources familiar with the matter."
"JULY 23, 2020",UPDATE 1-U.S. Congressional hearing to question tech giant CEOs to be delayed,"A U.S. congressional hearing scheduled for next week to question the CEOs of Facebook Inc , Amazon.com Inc, Google parent Alphabet Inc and Apple Inc is set to be delayed, according to sources familiar with the matter."
"JULY 23, 2020",California appeals court rejects Apple TV consumer class action,A California appeals court has declined a bid by consumers who accused Apple Inc of misleading them by falsely touting the high-definition quality streaming capabilities of its Apple TVs to pursue their claims as a class.
"JULY 23, 2020",Apple faces deceptive trade practices probe by multiple U.S. states: document,"Multiple U.S. states are investigating Apple Inc for potentially deceiving consumers, according to a March document obtained by a tech watchdog group."
"JULY 23, 2020",Apple faces consumer protection probe by multiple U.S. states - Axios,"Multiple U.S. states are investigating Apple Inc for potentially deceiving consumers, online news site Axios reported on Thursday, citing a March document from a tech watchdog group."
"JULY 23, 2020","Apple supplier LG Display posts larger loss, but says the worst is over","Apple Inc <AAPL.O> supplier LG Display Co Ltd <034220.KS> said on Thursday it expects profitability to improve in the second half of this year as the new iPhone launch boosts demand for its smartphone panels, despite posting a larger operating loss."
"JULY 23, 2020",Apple supplier LG Display posts sixth straight quarterly loss,"Apple Inc supplier LG Display Co Ltd reported its sixth consecutive quarterly operating loss on Thursday, as people shied away from buying new TV sets in the middle of the pandemic and panel prices remained weak."
"JULY 22, 2020",Nvidia expresses interest in SoftBank's chip company Arm Holdings: Bloomberg News,"SoftBank Group Corp's chip company Arm Holdings Ltd has gathered takeover interest from Nvidia Corp, Bloomberg News reported https://bloom.bg/30R4Kh5 on Wednesday, citing people familiar with the matter."
"JULY 22, 2020",Apple offers modified phones to security researchers looking for iOS weaknesses,Apple on Wednesday invited security researchers to apply to receive modified iPhones designed to help them hunt for flaws in the company's mobile operating system.
"JULY 22, 2020","Italy opens antitrust probe into Amazon, Apple over sale of Beats headphones",Italy's antitrust authority said on Wednesday it had opened an investigation into whether Apple Inc <AAPL.O> and Amazon Inc had engaged in anti-competitive cooperation in the sale of Apple products and Beats headphones.
"JULY 21, 2020",Gilstrap denies Apple bid to delay jury trial due to COVID-19,"U.S. District Judge Rodney Gilstrap in Marshall, Texas has declined to postpone a jury trial in a patent case against Apple Inc amid the coronavirus pandemic."
"JULY 21, 2020","Apple to remove carbon from supply chain, products by 2030","Apple Inc <AAPL.O> said on Tuesday it plans to remove carbon emissions from its entire business, including its products and sprawling supply chain, over the next decade."
"JULY 15, 2020","Apple settles East Texas patent case, drops last-ditch transfer bid","Apple Inc has agreed to settle a lawsuit accusing it of infringing a mapping technology patent, abandoning a last-ditch bid to get the case moved out of the plaintiff-friendly Eastern District of Texas."
"JULY 15, 2020","Apple expands news offerings with audio, local newspaper stories","Apple Inc <AAPL.O> on Wednesday expanded its news offerings with audio versions of stories narrated by voice actors for subscribers, a morning newscast hosted by two journalists and more access to local newspaper stories."
"JULY 15, 2020",Blow for EU as Apple wins fight against $15 billion tax order,"Apple scored a major win on Wednesday as Europe's second-highest court rejected an EU order for the iPhone maker to pay 13 billion euros ($15 billion) in Irish back taxes, dealing a blow to the bloc's attempts to crack down on sweetheart tax deals."
"JULY 15, 2020",Breakingviews - Apple tax win flags EU problem of enemies within,"The victor of a battle can still end up losing the war. But Apple’s win in a legal case over $15 billion of back taxes that the European Commission ordered the tech giant to pay to Ireland flags the problems that Europe’s antitrust chief, Margrethe Vestager, faces in a bigger..."
"JULY 15, 2020",Ireland welcomes annulling of EU Apple tax order,Ireland welcomed the judgment by Europe's second-top court on Wednesday to reject a European Union order that iPhone maker Apple pay 13 billion euros ($14.78 billion) in Irish back taxes.
"JULY 15, 2020",Apple welcomes court ruling against EU tax order,Apple said on Wednesday that it was pleased that Europe's second-top court had rejected an EU order to the iPhone maker to pay 13 billion euros ($14.78 billion) in Irish back taxes.
"JULY 15, 2020",EU's Vestager vows to continue tax fight after Apple setback,"EU antitrust chief Margrethe Vestager vowed on Wednesday to continue her fight against tax measures used by multinationals despite a setback dealt by Europe's second-top court, which earlier scrapped her 13 billion euro tax order to Apple."
"JULY 15, 2020",EU's Vestager vows to continue tax fight after Apple setback,"EU antitrust chief Margrethe Vestager vowed on Wednesday to continue her fight against tax measures used by multinationals despite a setback dealt by Europe's second-top court, which earlier scrapped her 13 billion euro tax order to Apple."
